,Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nom complet,Espanyol_a,Data neixement,Edat
97294667E,Jordi,García,Espanya,Barcelona,3,1,1975,Home,1014.3000000000001,Si,Grup A,Jordi García,True,1975-01-03,50
99611153A,Arnau,Sánchez,Espanya,Barcelona,16,12,1998,Home,1506.75,No,Grup A,Arnau Sánchez,True,1998-12-16,26
85693556P,Joan,Romero Martínez,Espanya,Barcelona,2,11,1973,Home,1623.3000000000002,Si,Grup A,Joan Romero Martínez,True,1973-11-02,51
27368854D,Marta,Castells López,Espanya,Barcelona,9,6,1985,Dona,1509.9,No,Grup A,Marta Castells López,True,1985-06-09,40
58740246B,Pau,Ferrer Martínez,Espanya,Barcelona,24,12,1964,Home,895.6500000000001,No,Grup A,Pau Ferrer Martínez,True,1964-12-24,60
68722397X,Laia,Romero Martínez,Espanya,Barcelona,28,5,1964,Dona,1065.75,No,Grup A,Laia Romero Martínez,True,1964-05-28,61
41718924T,Marc,Martínez Castells,Espanya,Barcelona,13,5,1979,,1546.65,No,Grup A,Marc Martínez Castells,True,1979-05-13,46
84904881L,Pau,Castells Martínez,Espanya,Barcelona,3,1,1985,Home,1304.1000000000001,No,Grup A,Pau Castells Martínez,True,1985-01-03,40
67985873N,Anna,Castells Ferrer,Espanya,Barcelona,8,1,1983,Dona,1568.7,Si,Grup A,Anna Castells Ferrer,True,1983-01-08,42
33177087Z,Toni,Romero,Espanya,Barcelona,7,5,1990,Home,1156.05,No,Grup A,Toni Romero,True,1990-05-07,35
32610074J,Joan,López,Espanya,Barcelona,22,10,1964,Home,1704.15,No,Grup A,Joan López,True,1964-10-22,60
68747775D,Eva,Castells Romero,Espanya,Barcelona,13,2,1980,Altres,977.5500000000001,No,Grup A,Eva Castells Romero,True,1980-02-13,45
37528225W,Clara,Castells,Espanya,Barcelona,17,7,1953,Dona,816.9000000000001,No,Grup A,Clara Castells,True,1953-07-17,71
13814869T,Joan,Romero Romero,Espanya,Barcelona,3,11,1995,Home,1163.4,Si,Grup A,Joan Romero Romero,True,1995-11-03,29
60189754G,Clara,Sánchez,Espanya,Barcelona,3,10,1985,Dona,1502.55,No,Grup A,Clara Sánchez,True,1985-10-03,39
28369496M,Núria,López,Espanya,Barcelona,28,5,1961,Dona,836.85,Si,Grup A,Núria López,True,1961-05-28,64
64708400Q,Eva,García,Espanya,Barcelona,27,10,1960,Dona,760.2,Si,Grup A,Eva García,True,1960-10-27,64
26880397A,Carla,Castells Castells,Espanya,Barcelona,27,3,1977,Dona,1500.45,No,Grup A,Carla Castells Castells,True,1977-03-27,48
28370355T,Marta,Romero,Espanya,Barcelona,8,4,1957,Dona,724.5,No,Grup A,Marta Romero,True,1957-04-08,68
64200072V,Toni,Martínez Castells,Espanya,Barcelona,23,10,1957,Home,1445.8500000000001,No,Grup A,Toni Martínez Castells,True,1957-10-23,67
38241293F,Carla,Martínez Castells,Espanya,Barcelona,21,10,1980,Dona,792.75,No,Grup A,Carla Martínez Castells,True,1980-10-21,44
20692229R,Oriol,López Romero,Espanya,Barcelona,22,5,1983,Home,1191.75,Si,Grup A,Oriol López Romero,True,1983-05-22,42
21277706W,Carla,Ferrer,Espanya,Barcelona,13,12,1969,Dona,956.5500000000001,No,Grup A,Carla Ferrer,True,1969-12-13,55
15566633F,Laia,Sánchez Martínez,Espanya,Barcelona,10,2,1971,Dona,1498.3500000000001,No,Grup A,Laia Sánchez Martínez,True,1971-02-10,54
90914480C,Oriol,Castells,Espanya,Barcelona,3,12,1987,Home,1745.1000000000001,No,Grup A,Oriol Castells,True,1987-12-03,37
39104359X,Jordi,Romero García,Espanya,Barcelona,17,2,1972,Home,1190.7,No,Grup A,Jordi Romero García,True,1972-02-17,53
12091945C,Oriol,Sánchez,Espanya,Barcelona,5,2,1986,Home,784.35,No,Grup A,Oriol Sánchez,True,1986-02-05,39
89759837X,Laia,Romero,Espanya,Barcelona,17,9,1966,Dona,999.6,Si,Grup A,Laia Romero,True,1966-09-17,58
67475809B,Jordi,Romero,Espanya,Barcelona,6,9,1952,Home,1756.65,Si,Grup A,Jordi Romero,True,1952-09-06,72
21511240Y,Oriol,García Castells,Espanya,Barcelona,8,5,1987,Home,962.85,No,Grup A,Oriol García Castells,True,1987-05-08,38
25874228C,Laia,López,Espanya,Barcelona,8,3,1970,Dona,1380.75,No,Grup A,Laia López,True,1970-03-08,55
69760120X,Laia,Ferrer Martínez,Espanya,Barcelona,11,11,1980,Dona,716.1,No,Grup A,Laia Ferrer Martínez,True,1980-11-11,44
48870261R,Jordi,Sánchez,Espanya,Bilbao,16,8,1962,Home,779.1,No,Grup A,Jordi Sánchez,True,1962-08-16,62
17856143W,Anna,Martínez Martínez,Espanya,Bilbao,26,9,1972,Dona,819.0,No,Grup A,Anna Martínez Martínez,True,1972-09-26,52
71226479A,Toni,Sánchez García,Espanya,Bilbao,28,2,2000,Home,1450.05,No,Grup A,Toni Sánchez García,True,2000-02-28,25
98082914F,Anna,Ferrer Sánchez,Espanya,Bilbao,21,10,1982,Dona,1389.15,No,Grup A,Anna Ferrer Sánchez,True,1982-10-21,42
64134967K,Clara,Sánchez,Espanya,Bilbao,1,10,1965,Dona,857.85,Si,Grup A,Clara Sánchez,True,1965-10-01,59
31039740J,Anna,Castells,Espanya,Bilbao,20,3,1987,Dona,1450.05,No,Grup A,Anna Castells,True,1987-03-20,38
69934163X,Laia,Martínez Ferrer,Espanya,Bilbao,19,10,1956,Dona,1030.05,Si,Grup A,Laia Martínez Ferrer,True,1956-10-19,68
48108194K,Marta,Sánchez,Espanya,Bilbao,1,9,1972,Dona,1211.7,No,Grup A,Marta Sánchez,True,1972-09-01,52
35072309W,Pau,Ferrer,Espanya,Bilbao,6,8,1964,Home,1213.8,No,Grup A,Pau Ferrer,True,1964-08-06,60
68948799D,Clara,Castells García,Espanya,Bilbao,11,1,1964,Dona,1155.0,Si,Grup A,Clara Castells García,True,1964-01-11,61
10674532Q,Jordi,Castells Ferrer,Espanya,Bilbao,23,2,1979,Home,1279.95,No,Grup A,Jordi Castells Ferrer,True,1979-02-23,46
52195959W,Carla,Castells García,Espanya,Bilbao,7,1,1994,Dona,1358.7,No,Grup A,Carla Castells García,True,1994-01-07,31
24418722F,Marta,Romero Sánchez,Espanya,Bilbao,19,7,1968,Dona,1087.8,No,Grup A,Marta Romero Sánchez,True,1968-07-19,56
76674953J,Jordi,Sánchez,Espanya,Bilbao,5,3,1952,Home,1311.45,No,Grup A,Jordi Sánchez,True,1952-03-05,73
98052221N,Marta,Martínez,Espanya,Bilbao,22,6,1973,Dona,858.9000000000001,No,Grup A,Marta Martínez,True,1973-06-22,52
58101481N,Jordi,Sánchez,Espanya,Bilbao,20,4,1993,Home,1353.45,No,Grup A,Jordi Sánchez,True,1993-04-20,32
74165595P,Jordi,Castells,Espanya,Bilbao,1,6,1953,Home,1392.3,Si,Grup A,Jordi Castells,True,1953-06-01,72
43099073D,Marc,Martínez Martínez,Espanya,Bilbao,4,1,2001,Home,1751.4,Si,Grup A,Marc Martínez Martínez,True,2001-01-04,24
60957935K,Eva,López,Espanya,Bilbao,26,12,1964,Dona,1274.7,No,Grup A,Eva López,True,1964-12-26,60
38593878Z,Jordi,García,Espanya,Bilbao,11,1,1950,Home,1043.7,No,Grup A,Jordi García,True,1950-01-11,75
19404501Z,Arnau,Ferrer Sánchez,Espanya,Bilbao,6,11,1969,Home,1398.6000000000001,Si,Grup A,Arnau Ferrer Sánchez,True,1969-11-06,55
37416719D,Anna,López,Espanya,Bilbao,17,6,1995,Dona,1396.5,Si,Grup A,Anna López,True,1995-06-17,30
88308185F,Jordi,Romero García,Espanya,Bilbao,19,12,1984,Home,1611.75,Si,Grup A,Jordi Romero García,True,1984-12-19,40
70113350T,Pau,Castells,Espanya,Bilbao,17,4,1952,,1172.8500000000001,No,Grup A,Pau Castells,True,1952-04-17,73
12689894Z,Marta,López,Espanya,Bilbao,24,7,1967,Dona,1492.05,No,Grup A,Marta López,True,1967-07-24,57
71304182R,Núria,Ferrer,Espanya,Bilbao,17,3,1979,Dona,1279.95,Si,Grup A,Núria Ferrer,True,1979-03-17,46
75340954W,Joan,Ferrer,Espanya,Bilbao,21,5,1981,,1478.4,No,Grup A,Joan Ferrer,True,1981-05-21,44
97210518F,Clara,Sánchez Romero,Espanya,Bilbao,16,3,2004,Dona,1075.2,No,Grup A,Clara Sánchez Romero,True,2004-03-16,21
76436789V,Eva,Romero,Espanya,Bilbao,18,7,1967,Dona,1388.1000000000001,No,Grup A,Eva Romero,True,1967-07-18,57
21820075A,Arnau,Sánchez,Espanya,Bilbao,23,1,1978,Home,1162.3500000000001,No,Grup A,Arnau Sánchez,True,1978-01-23,47
64697693K,Núria,Martínez Martínez,Espanya,Bilbao,20,8,2002,Dona,1056.3,No,Grup A,Núria Martínez Martínez,True,2002-08-20,22
43507453W,Anna,Ferrer Martínez,Espanya,Bilbao,15,10,1981,Dona,892.5,Si,Grup A,Anna Ferrer Martínez,True,1981-10-15,43
75293326J,Joan,García,Espanya,Bilbao,23,6,1960,Home,867.3000000000001,No,Grup A,Joan García,True,1960-06-23,65
72988314H,Marc,Sánchez,Espanya,Bilbao,3,6,1996,Home,1200.15,Si,Grup A,Marc Sánchez,True,1996-06-03,29
51701516Z,Jordi,Ferrer,Espanya,Bilbao,22,5,1960,Home,1391.25,No,Grup A,Jordi Ferrer,True,1960-05-22,65
14270387K,Eva,Castells Romero,Espanya,Bilbao,25,6,1974,Dona,1382.8500000000001,No,Grup A,Eva Castells Romero,True,1974-06-25,51
58780487Q,Arnau,Martínez Romero,Espanya,Bilbao,26,8,1997,Home,1501.5,No,Grup A,Arnau Martínez Romero,True,1997-08-26,27
53837158P,Toni,Ferrer,Espanya,Bilbao,7,4,1996,Altres,1332.45,No,Grup A,Toni Ferrer,True,1996-04-07,29
46674072A,Laia,Castells Castells,Espanya,Bilbao,3,12,1968,,1396.5,Si,Grup A,Laia Castells Castells,True,1968-12-03,56
84944664N,Oriol,Romero,Espanya,Bilbao,28,3,1959,,958.6500000000001,Si,Grup A,Oriol Romero,True,1959-03-28,66
14579601F,Arnau,Martínez,Espanya,Bilbao,13,8,1964,Home,1387.05,No,Grup A,Arnau Martínez,True,1964-08-13,60
64443494X,Marc,García Romero,Espanya,Bilbao,25,1,2004,Home,1140.3,No,Grup A,Marc García Romero,True,2004-01-25,21
54172956P,Anna,Ferrer Castells,Espanya,Bilbao,1,9,1953,Dona,1220.1000000000001,No,Grup A,Anna Ferrer Castells,True,1953-09-01,71
68548102E,Laia,López López,Espanya,Bilbao,3,5,1997,Dona,1109.8500000000001,Si,Grup A,Laia López López,True,1997-05-03,28
89826839F,Marta,Castells López,Espanya,Bilbao,10,1,1964,Dona,1224.3,Si,Grup A,Marta Castells López,True,1964-01-10,61
79003381D,Eva,García,Espanya,Bilbao,17,3,1997,Dona,1085.7,No,Grup A,Eva García,True,1997-03-17,28
76741258Y,Carla,Castells Ferrer,Espanya,Bilbao,20,7,1952,Dona,1397.55,No,Grup A,Carla Castells Ferrer,True,1952-07-20,72
21163199Y,Joan,Sánchez,Espanya,Bilbao,18,3,1982,Home,1713.6000000000001,No,Grup A,Joan Sánchez,True,1982-03-18,43
53176287C,Jordi,Castells,Espanya,Bilbao,6,2,1963,Home,1371.3,Si,Grup A,Jordi Castells,True,1963-02-06,62
80044333C,Núria,Martínez,Espanya,Bilbao,10,3,1971,Dona,1037.4,No,Grup A,Núria Martínez,True,1971-03-10,54
77158777S,Núria,García,Espanya,Bilbao,15,6,2001,Dona,732.9,Si,Grup A,Núria García,True,2001-06-15,24
66460797A,Marc,López García,Espanya,Bilbao,10,9,2005,Home,1333.5,No,Grup A,Marc López García,True,2005-09-10,19
82204716Y,Pau,López Ferrer,Espanya,Bilbao,13,4,1960,Home,1185.45,Si,Grup A,Pau López Ferrer,True,1960-04-13,65
71312672X,Jordi,López Romero,Espanya,Bilbao,17,12,1978,Home,1066.8,No,Grup A,Jordi López Romero,True,1978-12-17,46
43437575V,Clara,Romero,Espanya,Bilbao,5,12,2004,Dona,1582.3500000000001,No,Grup A,Clara Romero,True,2004-12-05,20
86899840T,Eva,García,Espanya,Bilbao,13,9,1978,Dona,1172.8500000000001,No,Grup A,Eva García,True,1978-09-13,46
98430241N,Toni,López,Espanya,Bilbao,3,6,1956,Home,899.85,No,Grup A,Toni López,True,1956-06-03,69
75634877M,Marc,Castells Castells,Espanya,Bilbao,18,12,1955,Home,1396.5,Si,Grup A,Marc Castells Castells,True,1955-12-18,69
58558026P,Toni,Romero Martínez,Espanya,Bilbao,15,9,1980,Home,1282.05,No,Grup A,Toni Romero Martínez,True,1980-09-15,44
80867475E,Arnau,Martínez,Espanya,Bilbao,9,10,1996,Home,1230.6000000000001,Si,Grup A,Arnau Martínez,True,1996-10-09,28
89253307W,Clara,Sánchez López,Espanya,Bilbao,1,8,1952,Dona,1277.8500000000001,No,Grup A,Clara Sánchez López,True,1952-08-01,72
43855905B,Eva,Castells,Espanya,Madrid,1,12,1965,Dona,922.95,No,Grup A,Eva Castells,True,1965-12-01,59
58027402M,Joan,López,Espanya,Madrid,5,3,1957,Home,1015.35,No,Grup A,Joan López,True,1957-03-05,68
29075001G,Eva,Ferrer,Espanya,Madrid,27,1,1974,Dona,1051.05,No,Grup A,Eva Ferrer,True,1974-01-27,51
86310227T,Núria,Martínez,Espanya,Madrid,19,3,1986,Dona,1475.25,No,Grup A,Núria Martínez,True,1986-03-19,39
42278299Y,Toni,Ferrer,Espanya,Madrid,19,8,1967,Home,1641.15,No,Grup A,Toni Ferrer,True,1967-08-19,57
18522481J,Oriol,Martínez,Espanya,Madrid,18,1,1994,Home,1580.25,No,Grup A,Oriol Martínez,True,1994-01-18,31
96178808S,Pau,Romero Castells,Espanya,Madrid,14,7,1996,Home,1629.6000000000001,Si,Grup A,Pau Romero Castells,True,1996-07-14,29
30574341W,Oriol,García,Espanya,Madrid,8,3,1954,Altres,1640.1000000000001,No,Grup A,Oriol García,True,1954-03-08,71
53967981Q,Pau,Sánchez,Espanya,Madrid,1,12,1982,Altres,896.7,No,Grup A,Pau Sánchez,True,1982-12-01,42
13695774G,Eva,Castells,Espanya,Madrid,20,11,1957,Dona,1445.8500000000001,No,Grup A,Eva Castells,True,1957-11-20,67
15812105B,Marc,Martínez Ferrer,Espanya,Madrid,14,7,1971,Altres,1258.95,No,Grup A,Marc Martínez Ferrer,True,1971-07-14,54
