,Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nom complet,Espanyol_a,Data neixement,Edat
80745485X,Pau,Sánchez Martínez,Espanya,Madrid,2,3,1981,Home,2560.2,Si,Grup C,Pau Sánchez Martínez,True,1981-03-02,44
22768293W,Jordi,López,Espanya,Madrid,27,4,1996,Home,2899.86,Si,Grup C,Jordi López,True,1996-04-27,29
19304110P,Arnau,García Romero,Espanya,Madrid,13,12,1970,Home,2362.32,No,Grup C,Arnau García Romero,True,1970-12-13,54
23895788L,Marc,Castells,Espanya,Madrid,3,8,1978,Home,1778.88,No,Grup C,Marc Castells,True,1978-08-03,46
87645157V,Joan,López,Espanya,Sevilla,13,10,1964,Home,2657.1,Si,Grup C,Joan López,True,1964-10-13,60
39421964W,Marta,Ferrer López,Espanya,Sevilla,19,7,1969,,2471.46,No,Grup C,Marta Ferrer López,True,1969-07-19,55
13453262F,Clara,Martínez,Espanya,Sevilla,4,7,2001,Dona,2576.52,Si,Grup C,Clara Martínez,True,2001-07-04,24
85141625T,Clara,Ferrer,Espanya,Sevilla,21,12,1999,Altres,2440.86,Si,Grup C,Clara Ferrer,True,1999-12-21,25
33077646V,Eva,Martínez,Espanya,Sevilla,18,3,1986,Dona,1836.0,No,Grup C,Eva Martínez,True,1986-03-18,39
42831725E,Arnau,Sánchez,Espanya,Sevilla,13,11,1967,Home,2110.38,No,Grup C,Arnau Sánchez,True,1967-11-13,57
73661586C,Carla,Ferrer,Espanya,Sevilla,11,9,1955,Dona,2101.2,Si,Grup C,Carla Ferrer,True,1955-09-11,69
65882859J,Arnau,Martínez,Espanya,Sevilla,3,6,1962,Home,1880.88,Si,Grup C,Arnau Martínez,True,1962-06-03,63
98830242H,Carla,Sánchez,Espanya,Sevilla,2,1,1952,Dona,1821.72,No,Grup C,Carla Sánchez,True,1952-01-02,73
82052269P,Eva,Romero Romero,Espanya,Sevilla,26,2,1954,Dona,1766.64,No,Grup C,Eva Romero Romero,True,1954-02-26,71
72374089J,Joan,Martínez Romero,Espanya,Sevilla,20,4,1994,,1871.7,No,Grup C,Joan Martínez Romero,True,1994-04-20,31
41260739H,Anna,Ferrer,Espanya,Sevilla,25,5,2000,Dona,2207.28,No,Grup C,Anna Ferrer,True,2000-05-25,25
11962486C,Oriol,Sánchez,Espanya,Sevilla,27,2,1958,Home,2589.78,No,Grup C,Oriol Sánchez,True,1958-02-27,67
63666276G,Joan,Romero,Espanya,Sevilla,10,11,1952,Home,1942.08,No,Grup C,Joan Romero,True,1952-11-10,72
29356893J,Jordi,García,Espanya,Sevilla,13,6,1987,Home,2784.6,Si,Grup C,Jordi García,True,1987-06-13,38
76315436N,Joan,Martínez,Espanya,Sevilla,26,5,1976,Home,2873.34,No,Grup C,Joan Martínez,True,1976-05-26,49
87416108F,Marta,Martínez Romero,Espanya,Sevilla,7,9,1955,Dona,2001.24,No,Grup C,Marta Martínez Romero,True,1955-09-07,69
39025961G,Pau,Sánchez,Espanya,Sevilla,20,10,1953,Home,2820.3,No,Grup C,Pau Sánchez,True,1953-10-20,71
20752389X,Eva,Romero,Espanya,Sevilla,16,11,1964,,1999.2,No,Grup C,Eva Romero,True,1964-11-16,60
63445794B,Oriol,Romero Romero,Espanya,Sevilla,11,7,1964,Altres,1989.0,No,Grup C,Oriol Romero Romero,True,1964-07-11,61
66120457F,Núria,Sánchez Romero,Espanya,Sevilla,9,1,1974,Dona,1939.02,No,Grup C,Núria Sánchez Romero,True,1974-01-09,51
95216936L,Jordi,Castells,Espanya,Sevilla,14,12,1986,Altres,2304.18,Si,Grup C,Jordi Castells,True,1986-12-14,38
93349542M,Marc,Sánchez García,Espanya,Sevilla,4,3,1974,Altres,1643.22,Si,Grup C,Marc Sánchez García,True,1974-03-04,51
77573960D,Laia,Romero López,Espanya,Sevilla,23,6,2005,Dona,2407.2,No,Grup C,Laia Romero López,True,2005-06-23,20
61151031X,Toni,Martínez,Espanya,València,12,9,1992,Home,2599.98,Si,Grup C,Toni Martínez,True,1992-09-12,32
35957209T,Pau,López Martínez,Espanya,València,1,1,1988,Home,2861.1,No,Grup C,Pau López Martínez,True,1988-01-01,37
22972474K,Marta,Romero,Espanya,València,3,12,1958,Dona,1562.64,No,Grup C,Marta Romero,True,1958-12-03,66
43764388P,Clara,Castells Castells,Espanya,València,15,8,1962,Dona,2372.52,Si,Grup C,Clara Castells Castells,True,1962-08-15,62
89805468T,Marc,García Ferrer,Espanya,València,21,5,1968,Home,2185.86,Si,Grup C,Marc García Ferrer,True,1968-05-21,57
59487847J,Carla,Sánchez Romero,Espanya,València,17,10,1959,Dona,2453.1,Si,Grup C,Carla Sánchez Romero,True,1959-10-17,65
35978728B,Jordi,García García,Espanya,València,18,6,1967,Home,2438.82,Si,Grup C,Jordi García García,True,1967-06-18,58
82680101W,Marc,Romero Ferrer,Espanya,València,22,9,1993,Home,1777.8600000000001,Si,Grup C,Marc Romero Ferrer,True,1993-09-22,31
44346665J,Laia,Romero Martínez,Espanya,València,18,7,1963,Altres,2089.98,No,Grup C,Laia Romero Martínez,True,1963-07-18,61
76029605D,Carla,Ferrer García,Espanya,València,25,2,1970,Dona,2564.28,No,Grup C,Carla Ferrer García,True,1970-02-25,55
15664344B,Pau,García,Espanya,València,1,3,2000,Home,2437.8,No,Grup C,Pau García,True,2000-03-01,25
68222849D,Marta,López,Espanya,València,4,11,1971,Dona,2398.02,Si,Grup C,Marta López,True,1971-11-04,53
81908160Z,Toni,Martínez,Espanya,València,13,7,1978,Home,1966.56,Si,Grup C,Toni Martínez,True,1978-07-13,47
36744704Y,Carla,López López,Espanya,València,9,10,1970,Dona,2245.02,No,Grup C,Carla López López,True,1970-10-09,54
62062006Z,Jordi,Romero,Espanya,València,1,1,1973,Home,2352.12,No,Grup C,Jordi Romero,True,1973-01-01,52
55178117L,Marc,García Castells,Espanya,València,20,12,1983,Home,2970.2400000000002,Si,Grup C,Marc García Castells,True,1983-12-20,41
42807414J,Laia,Sánchez,Espanya,València,17,7,1967,Dona,2300.1,No,Grup C,Laia Sánchez,True,1967-07-17,57
93040786Z,Élise,Dubois,França,Lió,4,12,1950,Dona,1907.4,No,Grup C,Élise Dubois,False,1950-12-04,74
56029646T,Camille,Girard Lefevre,França,Marsella,7,12,2003,Dona,2495.94,Si,Grup C,Camille Girard Lefevre,False,2003-12-07,21
78532778V,Élise,Lefevre,França,París,7,11,1972,Dona,1729.92,Si,Grup C,Élise Lefevre,False,1972-11-07,52
90836935Y,Élise,Moreau,França,París,9,10,1959,Dona,2149.14,Si,Grup C,Élise Moreau,False,1959-10-09,65
32044922L,Gabriela,Ramírez González,Mèxic,Ciutat de Mèxic,7,5,1980,Dona,2403.12,No,Grup C,Gabriela Ramírez González,False,1980-05-07,45
94364172S,Andrés,Hernández Hernández,Mèxic,Ciutat de Mèxic,11,12,1983,Home,2215.44,No,Grup C,Andrés Hernández Hernández,False,1983-12-11,41
53037156T,José,Ramírez Hernández,Mèxic,Guadalajara,11,6,1966,Home,1967.58,No,Grup C,José Ramírez Hernández,False,1966-06-11,59
75949005H,María,Cruz,Mèxic,Guadalajara,27,1,1963,Dona,2461.26,No,Grup C,María Cruz,False,1963-01-27,62
25380605S,Luisa,Ramírez,Mèxic,Guadalajara,8,6,1984,Dona,1897.2,No,Grup C,Luisa Ramírez,False,1984-06-08,41
92210964M,Camila,Hernández,Mèxic,Guadalajara,26,9,1978,Dona,2340.9,Si,Grup C,Camila Hernández,False,1978-09-26,46
59717596Z,Camila,Cruz Ramírez,Mèxic,Guadalajara,4,10,1994,Dona,1860.48,Si,Grup C,Camila Cruz Ramírez,False,1994-10-04,30
23837247D,Miguel,Oliveira Pereira,Portugal,Lisboa,19,9,1978,Home,2293.98,No,Grup C,Miguel Oliveira Pereira,False,1978-09-19,46
22381649M,Inês,Silva,Portugal,Lisboa,28,2,1980,Dona,1589.16,Si,Grup C,Inês Silva,False,1980-02-28,45
88420532P,Rui,Oliveira,Portugal,Lisboa,9,3,1951,Home,1931.88,No,Grup C,Rui Oliveira,False,1951-03-09,74
18647358J,Maria,Silva,Portugal,Porto,14,12,1991,Altres,2507.16,No,Grup C,Maria Silva,False,1991-12-14,33
30477300W,Sophie,Brown,Regne Unit,Londres,12,5,1956,Dona,1562.64,No,Grup C,Sophie Brown,False,1956-05-12,69
98761038G,Olivia,Jones Brown,Regne Unit,Londres,20,1,1965,Altres,2509.2,Si,Grup C,Olivia Jones Brown,False,1965-01-20,60
58817861M,Isla,Brown Jones,Regne Unit,Londres,5,3,1954,Altres,2325.6,Si,Grup C,Isla Brown Jones,False,1954-03-05,71
96612764F,Isla,Smith Brown,Regne Unit,Londres,24,9,1991,Dona,2212.38,Si,Grup C,Isla Smith Brown,False,1991-09-24,33
74953524F,Sophie,Brown,Regne Unit,Londres,17,5,1983,Dona,2232.78,Si,Grup C,Sophie Brown,False,1983-05-17,42
