,Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nom complet,Espanyol_a,Data neixement,Edat
27292471C,Eva,García,Espanya,Bilbao,18,10,1962,,2209.725,No,Grup B,Eva García,True,1962-10-18,62
51884150Q,Joan,Romero Sánchez,Espanya,Bilbao,24,7,1951,Home,1545.2549999999999,Si,Grup B,Joan Romero Sánchez,True,1951-07-24,73
65118360Z,Joan,Romero Martínez,Espanya,Bilbao,19,11,1954,Home,2164.185,No,Grup B,Joan Romero Martínez,True,1954-11-19,70
24315095T,Toni,Ferrer,Espanya,Bilbao,24,2,1964,Altres,2214.8999999999996,No,Grup B,Toni Ferrer,True,1964-02-24,61
14473175F,Oriol,Castells,Espanya,Bilbao,17,3,1965,Home,2299.77,No,Grup B,Oriol Castells,True,1965-03-17,60
29753711H,Anna,Ferrer Castells,Espanya,Bilbao,18,8,1992,Dona,1363.0949999999998,Si,Grup B,Anna Ferrer Castells,True,1992-08-18,32
59372221S,Laia,Ferrer,Espanya,Bilbao,22,5,1978,Dona,1260.6299999999999,No,Grup B,Laia Ferrer,True,1978-05-22,47
61477292C,Marta,Romero,Espanya,Bilbao,8,7,1978,Dona,1910.61,No,Grup B,Marta Romero,True,1978-07-08,47
53457611N,Arnau,López López,Espanya,Bilbao,6,6,1991,Home,1430.37,No,Grup B,Arnau López López,True,1991-06-06,34
35566470L,Carla,López Sánchez,Espanya,Bilbao,11,10,1961,Dona,1682.9099999999999,Si,Grup B,Carla López Sánchez,True,1961-10-11,63
93122931K,Toni,Ferrer,Espanya,Bilbao,5,9,1957,Home,1464.5249999999999,No,Grup B,Toni Ferrer,True,1957-09-05,67
63960462M,Anna,Castells Martínez,Espanya,Bilbao,6,3,1959,Dona,1615.6349999999998,Si,Grup B,Anna Castells Martínez,True,1959-03-06,66
28171073A,Núria,Martínez Romero,Espanya,Bilbao,9,7,1965,Dona,1675.665,Si,Grup B,Núria Martínez Romero,True,1965-07-09,60
67537453P,Joan,Romero Martínez,Espanya,Bilbao,24,12,1985,Home,1825.7399999999998,No,Grup B,Joan Romero Martínez,True,1985-12-24,39
50115394L,Arnau,Martínez,Espanya,Bilbao,25,4,1959,Home,1420.02,Si,Grup B,Arnau Martínez,True,1959-04-25,66
83561180C,Carla,López,Espanya,Bilbao,7,7,2003,Dona,1821.6,Si,Grup B,Carla López,True,2003-07-07,22
66590677S,Marta,García,Espanya,Bilbao,19,8,1950,Dona,1481.0849999999998,No,Grup B,Marta García,True,1950-08-19,74
88571285P,Oriol,Castells,Espanya,Bilbao,13,4,1972,Home,1647.7199999999998,Si,Grup B,Oriol Castells,True,1972-04-13,53
44724403H,Toni,Ferrer,Espanya,Bilbao,20,2,1980,Home,1504.8899999999999,No,Grup B,Toni Ferrer,True,1980-02-20,45
54525691Y,Laia,García Ferrer,Espanya,Bilbao,19,1,1970,Dona,1826.7749999999999,No,Grup B,Laia García Ferrer,True,1970-01-19,55
23955973V,Eva,Ferrer Romero,Espanya,Bilbao,19,5,1976,Dona,1461.4199999999998,No,Grup B,Eva Ferrer Romero,True,1976-05-19,49
76782023V,Anna,Castells García,Espanya,Bilbao,26,3,1950,Dona,1516.2749999999999,Si,Grup B,Anna Castells García,True,1950-03-26,75
87154578D,Toni,Martínez,Espanya,Bilbao,5,7,1973,Home,1700.5049999999999,Si,Grup B,Toni Martínez,True,1973-07-05,52
36717144Q,Jordi,Romero,Espanya,Bilbao,17,11,1969,Home,1405.53,No,Grup B,Jordi Romero,True,1969-11-17,55
31675368R,Eva,López Martínez,Espanya,Bilbao,27,7,1998,Dona,1380.6899999999998,No,Grup B,Eva López Martínez,True,1998-07-27,26
89450981Z,Laia,Castells,Espanya,Bilbao,20,11,2000,Dona,1757.4299999999998,Si,Grup B,Laia Castells,True,2000-11-20,24
15138029Q,Marc,Castells,Espanya,Bilbao,16,12,2002,Home,2206.62,No,Grup B,Marc Castells,True,2002-12-16,22
78668978W,Pau,Sánchez,Espanya,Bilbao,20,5,1994,Home,2252.16,Si,Grup B,Pau Sánchez,True,1994-05-20,31
19814204M,Marta,García,Espanya,Bilbao,23,2,1999,Dona,1635.3,Si,Grup B,Marta García,True,1999-02-23,26
17792481K,Joan,Romero Martínez,Espanya,Bilbao,16,2,1996,Home,1913.715,No,Grup B,Joan Romero Martínez,True,1996-02-16,29
83942911L,Oriol,Romero López,Espanya,Bilbao,3,5,1951,Home,2117.6099999999997,No,Grup B,Oriol Romero López,True,1951-05-03,74
90364828E,Laia,Castells,Espanya,Bilbao,23,4,1998,Dona,1850.58,Si,Grup B,Laia Castells,True,1998-04-23,27
26631271T,Laia,Sánchez,Espanya,Bilbao,19,5,1970,Altres,2056.5449999999996,Si,Grup B,Laia Sánchez,True,1970-05-19,55
20049413F,Eva,López Ferrer,Espanya,Bilbao,24,12,1952,Dona,2086.56,No,Grup B,Eva López Ferrer,True,1952-12-24,72
41625678H,Arnau,Romero,Espanya,Bilbao,18,11,1967,Home,1755.36,No,Grup B,Arnau Romero,True,1967-11-18,57
15277702T,Toni,Castells,Espanya,Bilbao,25,7,1966,Home,2206.62,No,Grup B,Toni Castells,True,1966-07-25,58
90958057L,Joan,Sánchez,Espanya,Bilbao,13,12,1974,Altres,1880.5949999999998,No,Grup B,Joan Sánchez,True,1974-12-13,50
98801519G,Jordi,García,Espanya,Bilbao,11,1,1970,Home,1757.4299999999998,Si,Grup B,Jordi García,True,1970-01-11,55
32149349F,Marta,Romero,Espanya,Bilbao,25,7,1973,Dona,1887.84,No,Grup B,Marta Romero,True,1973-07-25,51
72513763X,Núria,Romero López,Espanya,Bilbao,15,6,1999,,1693.2599999999998,Si,Grup B,Núria Romero López,True,1999-06-15,26
24881645Q,Toni,Sánchez,Espanya,Bilbao,26,9,1992,Home,1405.53,No,Grup B,Toni Sánchez,True,1992-09-26,32
69079699D,Marc,Martínez,Espanya,Bilbao,7,7,1988,Home,2033.7749999999999,No,Grup B,Marc Martínez,True,1988-07-07,37
11119181K,Arnau,Ferrer,Espanya,Bilbao,20,5,1961,Home,1392.0749999999998,No,Grup B,Arnau Ferrer,True,1961-05-20,64
75347458Q,Toni,Martínez,Espanya,Bilbao,25,12,1974,Home,1398.2849999999999,No,Grup B,Toni Martínez,True,1974-12-25,50
24140397D,Oriol,Sánchez,Espanya,Bilbao,11,9,1989,Home,2189.0249999999996,Si,Grup B,Oriol Sánchez,True,1989-09-11,35
12559305B,Núria,García Ferrer,Espanya,Bilbao,11,4,1982,Dona,1819.53,Si,Grup B,Núria García Ferrer,True,1982-04-11,43
22021087Z,Núria,García López,Espanya,Madrid,8,6,1969,Dona,1422.09,No,Grup B,Núria García López,True,1969-06-08,56
90731738C,Pau,Martínez,Espanya,Madrid,17,8,1999,Home,2039.985,No,Grup B,Pau Martínez,True,1999-08-17,25
45581974X,Núria,Romero,Espanya,Madrid,26,10,1993,Dona,1399.32,Si,Grup B,Núria Romero,True,1993-10-26,31
12763903J,Eva,Martínez,Espanya,Madrid,19,10,1974,,2085.5249999999996,No,Grup B,Eva Martínez,True,1974-10-19,50
83703395A,Pau,Martínez,Espanya,Madrid,14,2,1959,Home,2173.5,No,Grup B,Pau Martínez,True,1959-02-14,66
42823610D,Eva,Castells,Espanya,Madrid,9,7,1956,Dona,1727.415,Si,Grup B,Eva Castells,True,1956-07-09,69
33058070M,Marta,Romero García,Espanya,Madrid,11,5,1973,Dona,1996.5149999999999,No,Grup B,Marta Romero García,True,1973-05-11,52
73563832M,Oriol,Ferrer Romero,Espanya,Madrid,9,2,1985,Home,2038.9499999999998,No,Grup B,Oriol Ferrer Romero,True,1985-02-09,40
59071537P,Carla,Sánchez,Espanya,Madrid,2,7,1990,Dona,1575.27,Si,Grup B,Carla Sánchez,True,1990-07-02,35
62152209S,Laia,García,Espanya,Madrid,9,8,1991,Dona,1547.3249999999998,No,Grup B,Laia García,True,1991-08-09,33
57378189F,Toni,López,Espanya,Madrid,12,10,1964,Home,1414.8449999999998,Si,Grup B,Toni López,True,1964-10-12,60
92922593Z,Arnau,López,Espanya,Madrid,4,4,1994,Altres,1866.1049999999998,No,Grup B,Arnau López,True,1994-04-04,31
50292113M,Laia,López,Espanya,Madrid,21,4,1984,Dona,1220.2649999999999,Si,Grup B,Laia López,True,1984-04-21,41
50085415G,Joan,García,Espanya,Madrid,22,10,2000,Home,2139.345,No,Grup B,Joan García,True,2000-10-22,24
53588164S,Jordi,Ferrer López,Espanya,Madrid,13,9,1955,Home,1750.185,Si,Grup B,Jordi Ferrer López,True,1955-09-13,69
97241617V,Marta,López Sánchez,Espanya,Madrid,17,5,1992,Dona,1936.485,Si,Grup B,Marta López Sánchez,True,1992-05-17,33
83461359C,Marc,Romero,Espanya,Madrid,2,8,1984,Home,1692.225,No,Grup B,Marc Romero,True,1984-08-02,40
49562152B,Marta,Ferrer,Espanya,Madrid,25,5,1976,Dona,1989.2699999999998,No,Grup B,Marta Ferrer,True,1976-05-25,49
39929911E,Eva,Castells Romero,Espanya,Madrid,24,1,1958,Altres,1974.7799999999997,No,Grup B,Eva Castells Romero,True,1958-01-24,67
53653173V,Anna,López,Espanya,Madrid,17,1,1964,Altres,1348.6049999999998,No,Grup B,Anna López,True,1964-01-17,61
46129359E,Laia,Castells Martínez,Espanya,Madrid,8,4,1975,Dona,1492.4699999999998,No,Grup B,Laia Castells Martínez,True,1975-04-08,50
38832908L,Arnau,Martínez,Espanya,Madrid,20,12,1999,Home,2173.5,No,Grup B,Arnau Martínez,True,1999-12-20,25
60352406T,Eva,Martínez,Espanya,Madrid,13,6,1994,Dona,1189.215,No,Grup B,Eva Martínez,True,1994-06-13,31
48928716V,Eva,Ferrer,Espanya,Madrid,22,5,1997,Dona,1268.9099999999999,No,Grup B,Eva Ferrer,True,1997-05-22,28
94864855F,Toni,Sánchez,Espanya,Madrid,6,3,1996,Home,2123.8199999999997,No,Grup B,Toni Sánchez,True,1996-03-06,29
54906134P,Laia,López,Espanya,Madrid,15,10,1978,Dona,1497.645,Si,Grup B,Laia López,True,1978-10-15,46
48918423X,Arnau,Ferrer Romero,Espanya,Madrid,2,7,1975,Home,2272.8599999999997,No,Grup B,Arnau Ferrer Romero,True,1975-07-02,50
16082109P,Clara,López,Espanya,Madrid,12,5,1989,Dona,1449.0,No,Grup B,Clara López,True,1989-05-12,36
41326173T,Laia,Martínez,Espanya,Madrid,9,9,1977,Dona,2124.855,No,Grup B,Laia Martínez,True,1977-09-09,47
99565242W,Joan,Sánchez Sánchez,Espanya,Madrid,28,7,2005,,1482.12,No,Grup B,Joan Sánchez Sánchez,True,2005-07-28,19
40194783Y,Núria,Sánchez García,Espanya,Madrid,14,1,1966,Dona,2027.5649999999998,Si,Grup B,Núria Sánchez García,True,1966-01-14,59
90985453R,Pau,Ferrer,Espanya,Madrid,24,11,1997,Home,2300.805,No,Grup B,Pau Ferrer,True,1997-11-24,27
89195587K,Carla,López Martínez,Espanya,Madrid,14,10,1962,Altres,1603.215,No,Grup B,Carla López Martínez,True,1962-10-14,62
34370425H,Oriol,Ferrer,Espanya,Madrid,2,4,1974,Home,1370.34,Si,Grup B,Oriol Ferrer,True,1974-04-02,51
48597672J,Toni,Romero Romero,Espanya,Madrid,15,2,1984,Altres,1819.53,Si,Grup B,Toni Romero Romero,True,1984-02-15,41
13600054Y,Carla,Romero,Espanya,Madrid,18,3,1964,Dona,1736.7299999999998,Si,Grup B,Carla Romero,True,1964-03-18,61
47075714S,Marta,López,Espanya,Madrid,13,3,1999,Dona,1227.51,No,Grup B,Marta López,True,1999-03-13,26
44074013Q,Toni,Sánchez,Espanya,Madrid,13,3,1976,,1777.0949999999998,Si,Grup B,Toni Sánchez,True,1976-03-13,49
60170471X,Toni,Martínez Castells,Espanya,Sevilla,20,4,1952,Altres,2203.515,No,Grup B,Toni Martínez Castells,True,1952-04-20,73
33445957H,Eva,Ferrer Martínez,Espanya,Sevilla,4,5,1960,Dona,1470.735,No,Grup B,Eva Ferrer Martínez,True,1960-05-04,65
89187959Z,Anna,Sánchez,Espanya,Sevilla,21,10,1955,Dona,1349.6399999999999,No,Grup B,Anna Sánchez,True,1955-10-21,69
63852668M,Anna,Sánchez García,Espanya,Sevilla,13,7,1993,Dona,1502.82,No,Grup B,Anna Sánchez García,True,1993-07-13,32
83165476Y,Núria,García Ferrer,Espanya,Sevilla,17,6,1957,Altres,1283.3999999999999,No,Grup B,Núria García Ferrer,True,1957-06-17,68
24435321M,Marta,Castells Ferrer,Espanya,Sevilla,15,3,1981,Dona,1937.5199999999998,Si,Grup B,Marta Castells Ferrer,True,1981-03-15,44
28996393T,Oriol,Sánchez Martínez,Espanya,Sevilla,5,1,1981,Home,2008.935,No,Grup B,Oriol Sánchez Martínez,True,1981-01-05,44
43586389Z,Jordi,Ferrer,Espanya,Sevilla,15,2,1958,Home,1859.8949999999998,No,Grup B,Jordi Ferrer,True,1958-02-15,67
98144857C,Arnau,Sánchez,Espanya,Sevilla,21,10,1990,Home,2224.2149999999997,No,Grup B,Arnau Sánchez,True,1990-10-21,34
41916963A,Marta,Romero,Espanya,Sevilla,27,4,1976,Dona,1820.5649999999998,No,Grup B,Marta Romero,True,1976-04-27,49
90216874S,Jordi,Ferrer,Espanya,Sevilla,12,7,2003,Home,1462.455,No,Grup B,Jordi Ferrer,True,2003-07-12,22
41171214L,Jordi,Romero García,Espanya,Sevilla,6,8,2000,Home,2041.0199999999998,Si,Grup B,Jordi Romero García,True,2000-08-06,24
80471691R,Laia,Sánchez,Espanya,Sevilla,3,3,1982,Dona,1914.7499999999998,Si,Grup B,Laia Sánchez,True,1982-03-03,43
93432185G,Oriol,Martínez,Espanya,Sevilla,26,7,1957,Home,2361.87,No,Grup B,Oriol Martínez,True,1957-07-26,67
42280605C,Clara,García,Espanya,Sevilla,16,10,1951,Dona,1479.0149999999999,Si,Grup B,Clara García,True,1951-10-16,73
